"","draw","lose","win","MeanDecreaseAccuracy","MeanDecreaseGini"
"height_cm",-0.802937581776751,-3.42800048599711,6.70905800859096,6.6785984360982,6.10812821338728
"weight_in_kg",-0.229481750786052,0.110231757957004,6.5798373312934,6.56974791154694,4.49812263780475
"reach_in_cm",-0.242522596879191,-2.75781220609609,7.94807360242845,7.93846068521737,5.43829113085454
"significant_strikes_landed_per_minute",-1.95009526846074,-1.59975776871971,5.71648120214797,5.50561028234998,9.11416737272135
"significant_striking_accuracy",0.160846926279681,-1.22672588320017,3.9310649225989,3.82833973759734,7.50683653361491
"significant_strikes_absorbed_per_minute",-1.10110230543561,-1.70740822077132,3.64012454779052,3.48058714563779,8.66627914318758
"significant_strike_defence",0.292245038479629,-1.00503781525921,4.66899551874616,4.63015028874503,7.4292470440621
"average_takedowns_landed_per_15_minutes",0.566284494094002,-1.42534406846337,3.27131319672996,3.18660882350274,6.9542294012971
"takedown_accuracy",1.00503781525921,-1.77255541352896,3.01444573396655,2.95631684097705,4.64989989329475
"takedown_defense",-0.594041810974237,-1.88296945444842,3.58888527149965,3.31284669570246,7.00677041554613
"average_submissions_attempted_per_15_minutes",0,-0.424355923183211,5.3965252161465,5.28169514742344,5.17172005252086
